Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
25-03-2026 09:00,KLSYN,10.43,11.44,10.43,11.42,7997442.0,0.02,0.99,0.14,597.18,0.99,4709062.1,69.83,0.02,True,74.2,0.55,0.41,0.14,2026-03-25,9.81,0,,8.33,ATH,False,False
25-03-2026 09:00,ULUFA,4.27,4.69,4.27,4.69,35786911.0,0.0,0.42,0.07,491.55,0.42,18806132.3,90.29,0.0,True,71.33,0.09,0.03,0.07,2026-03-25,9.84,0,,3.6,ATH,False,False
25-03-2026 09:00,ASTOR,196.0,210.9,196.0,209.2,89029804.0,1.7,13.2,1.28,931.25,13.2,29495824.3,201.84,0.13,True,67.2,6.67,6.19,0.48,2026-03-25,9.07,0,,167.0,ATH,False,False
25-03-2026 09:00,TRHOL,820.5,897.0,812.0,897.0,346684.0,0.0,76.5,8.85,764.41,76.5,144933.7,139.2,0.0,True,69.26,25.37,21.4,3.97,2026-03-25,9.99,0,,697.5,ATH,False,False
25-03-2026 09:00,TDGYO,17.5,19.25,17.1,19.25,2758680.0,0.0,1.75,0.08,2087.5,1.75,737974.9,273.82,0.0,True,41.75,-1.96,-2.53,0.56,2026-03-25,10.0,0,,16.95,30.04,True,True
25-03-2026 09:00,RYSAS,18.5,20.02,18.39,19.99,24872696.0,0.03,1.49,0.27,462.26,1.49,7941812.5,213.19,0.02,True,64.3,0.03,-0.15,0.17,2026-03-25,8.35,0,,13.44,21.84,False,False
25-03-2026 09:00,RUBNS,37.1,40.48,37.0,40.48,4235300.0,0.0,3.38,0.69,387.03,3.38,1040425.0,307.07,0.0,True,68.93,1.03,0.46,0.57,2026-03-25,10.0,0,,30.6,41.54,False,False
25-03-2026 09:00,EMKEL,23.5,26.5,22.36,26.5,45760851.0,0.0,3.0,0.7,331.03,3.0,18508405.7,147.24,0.0,True,73.63,0.37,-0.7,1.06,2026-03-25,9.96,0,,17.84,82.6,False,False
25-03-2026 09:00,EUPWR,35.5,38.28,35.34,37.68,21455192.0,0.6,2.18,0.11,1812.28,2.18,10506298.8,104.21,0.28,True,55.01,-0.58,-0.82,0.25,2026-03-25,7.66,0,,31.9,38.8,False,False
25-03-2026 09:00,NIBAS,9.34,10.17,9.13,10.01,36558338.0,0.16,0.67,0.26,154.75,0.67,9047110.1,304.09,0.24,True,79.67,1.1,1.01,0.09,2026-03-25,7.63,0,,3.31,ATH,False,False
25-03-2026 09:00,KZGYO,21.5,23.64,21.5,23.28,9624973.0,0.36,1.78,0.04,4584.21,1.78,2465042.2,290.46,0.2,True,54.04,-0.71,-0.97,0.26,2026-03-25,8.28,0,,20.56,28.76,True,True
25-03-2026 09:00,ARENA,24.26,26.58,24.26,26.3,3209466.0,0.28,2.04,0.1,1981.63,2.04,1224967.0,162.0,0.14,True,51.98,-0.58,-0.72,0.14,2026-03-25,8.68,0,,23.66,32.42,True,True
24-03-2026 09:00,NETCD,154.1,169.4,152.3,166.1,25264027.0,3.3,12.0,3.19,276.18,12.0,14871345.3,69.88,0.28,True,78.63,14.28,11.15,3.13,2026-03-24,7.86,0,,85.25,ATH,False,False
24-03-2026 09:00,CEOEM,21.5,23.64,21.44,23.64,8837416.0,0.0,2.14,0.32,568.75,2.14,2068974.1,327.14,0.0,True,65.93,0.02,-0.27,0.29,2026-03-24,9.95,0,,18.7,24.26,False,False
24-03-2026 09:00,MOGAN,10.96,12.03,10.77,11.84,54154606.0,0.19,0.88,0.18,394.38,0.88,23253856.9,132.88,0.22,True,66.92,0.32,0.21,0.1,2026-03-24,8.03,0,,9.6,ATH,False,False
24-03-2026 09:00,MHRGY,3.39,3.54,3.38,3.52,9359211.0,0.02,0.13,0.01,1525.0,0.13,4863394.6,92.44,0.15,True,52.19,-0.03,-0.04,0.01,2026-03-24,3.53,0,,3.15,4.0,False,False
24-03-2026 09:00,BIGTK,264.75,294.75,264.75,294.75,401081.0,0.0,30.0,5.3,466.04,30.0,143714.0,179.08,0.0,True,66.64,-5.44,-10.41,4.97,2026-03-24,9.98,0,,276.25,329.5,True,False
24-03-2026 09:00,MARBL,12.89,13.87,12.72,13.71,11124076.0,0.16,0.82,0.14,498.54,0.82,3587535.4,210.08,0.2,True,63.45,-0.06,-0.27,0.21,2026-03-24,8.04,0,,11.3,14.14,False,False
24-03-2026 09:00,ISSEN,7.27,8.01,7.18,7.84,8928708.0,0.17,0.57,0.07,691.67,0.57,1640791.5,444.17,0.3,True,63.42,-0.02,-0.08,0.06,2026-03-24,7.54,0,,6.7,8.17,False,False
24-03-2026 09:00,IZINV,64.25,68.1,62.75,67.65,521966.0,0.45,3.4,0.84,307.19,3.4,157804.2,230.77,0.13,True,62.22,-0.49,-1.38,0.88,2026-03-24,5.29,0,,53.6,72.15,False,False
24-03-2026 09:00,YESIL,1.27,1.45,1.26,1.45,143813805.0,0.0,0.18,0.01,2150.0,0.18,60725678.2,136.83,0.0,True,32.45,-0.13,-0.08,-0.05,2026-03-24,9.85,0,,ATL,2.16,False,False
23-03-2026 09:00,USAK,1.61,1.67,1.57,1.66,106516414.0,0.01,0.05,0.01,257.14,0.05,62170015.6,71.33,0.2,True,45.87,-0.05,-0.06,0.02,2026-03-23,1.84,0,,1.5,1.95,True,False
23-03-2026 09:00,ARFYE,25.02,27.52,24.88,27.52,22778080.0,0.0,2.5,0.38,554.45,2.5,7992605.5,184.99,0.0,True,58.47,-0.53,-1.02,0.49,2026-03-23,9.99,0,,22.06,32.9,True,False
23-03-2026 09:00,YKBNK,33.6,34.86,32.26,34.8,307884430.0,0.06,1.2,0.08,1438.46,1.2,170372902.2,80.71,0.05,True,38.08,-1.38,-1.08,-0.3,2026-03-23,0.06,0,,33.26,44.5,False,False
23-03-2026 09:00,VESTL,28.36,29.92,27.56,29.9,8224650.0,0.02,1.54,0.37,320.77,1.54,3890212.4,111.42,0.01,True,53.31,-0.43,-0.6,0.18,2026-03-23,3.03,0,,26.76,33.68,False,False
23-03-2026 09:00,GOLTS,335.25,358.0,328.5,355.75,331818.0,2.25,20.5,1.7,1105.88,20.5,192796.3,72.11,0.11,True,56.43,-2.8,-3.96,1.16,2026-03-23,5.17,0,,317.75,405.75,False,False
23-03-2026 09:00,SISE,43.7,48.68,43.66,48.68,190377284.0,0.0,4.98,0.87,471.1,4.98,55916509.0,240.47,0.0,True,67.72,0.13,-0.39,0.52,2026-03-23,9.99,0,,38.9,50.9,False,False
23-03-2026 09:00,GESAN,43.7,45.54,42.78,45.06,5102718.0,0.48,1.36,0.01,11233.33,1.36,3274799.5,55.82,0.35,True,41.49,-1.72,-1.93,0.21,2026-03-23,0.81,0,,42.14,61.55,False,False
23-03-2026 09:00,ODAS,5.93,6.32,5.91,6.22,170767183.0,0.1,0.29,0.02,1511.11,0.29,92899891.2,83.82,0.34,True,58.88,0.08,0.07,0.0,2026-03-23,3.15,0,,5.47,6.45,False,False
23-03-2026 09:00,XU100,12853.05,13168.16,12632.41,13168.16,11038272781.0,0.0,315.11,52.77,497.12,315.11,6835448714.3,61.49,0.0,True,47.84,-97.7,-77.5,-20.2,2026-03-23,0.92,0,,12433.04,14532.67,False,False
23-03-2026 09:00,PARSN,80.1,84.5,79.0,83.45,571585.0,1.05,3.35,0.5,570.0,3.35,279301.2,104.65,0.31,True,43.76,-3.58,-4.18,0.59,2026-03-23,4.18,0,,77.3,105.0,True,True
23-03-2026 09:00,PENGD,8.8,9.25,8.55,9.25,8666134.0,0.0,0.45,0.07,581.82,0.45,4317409.3,100.73,0.0,True,56.75,0.0,0.0,-0.0,2026-03-23,3.93,0,,8.43,10.74,False,False
23-03-2026 09:00,TAVHL,282.25,299.0,269.25,299.0,3946312.0,0.0,16.75,0.62,2580.0,16.75,1842202.2,114.22,0.0,True,44.67,-10.14,-10.25,0.12,2026-03-23,4.55,0,,277.75,369.0,False,False
23-03-2026 09:00,PGSUS,173.8,181.5,169.1,181.5,25873107.0,0.0,7.7,0.54,1325.93,7.7,14593028.0,77.3,0.0,True,41.65,-6.31,-6.68,0.38,2026-03-23,2.25,0,,167.3,226.1,True,True
23-03-2026 09:00,DURKN,18.0,19.8,17.99,19.8,17392633.0,0.0,1.8,0.22,714.48,1.8,6006474.2,189.56,0.0,True,58.95,-0.18,-0.28,0.1,2026-03-23,10.0,0,,16.18,24.86,True,True
23-03-2026 09:00,RALYH,138.1,153.4,133.7,153.4,6993495.0,0.0,15.3,1.28,1095.31,15.3,2168800.5,222.46,0.0,True,51.4,-7.68,-9.66,1.99,2026-03-23,9.96,0,,ATL,236.2,True,True
23-03-2026 09:00,XU030,14611.37,15051.56,14418.04,15051.56,6348223285.0,0.0,440.19,61.55,615.16,440.19,3954330383.9,60.54,0.0,True,52.22,8.69,38.23,-29.54,2026-03-23,1.38,0,,14153.82,15292.87,False,False
23-03-2026 09:00,GUNDG,583.0,712.0,583.0,712.0,1390949.0,0.0,129.0,24.85,419.11,129.0,613622.9,126.68,0.0,True,73.03,95.28,98.43,-3.16,2026-03-23,9.96,0,,204.0,ATH,False,False
23-03-2026 09:00,SELEC,80.15,83.0,77.45,83.0,2034332.0,0.0,2.85,0.17,1528.57,2.85,1061179.9,91.7,0.0,True,50.3,-0.69,-0.51,-0.18,2026-03-23,3.56,0,,75.15,92.25,False,False
23-03-2026 09:00,GWIND,26.1,27.16,26.0,27.02,14489278.0,0.14,0.92,0.19,394.62,0.92,5735154.4,152.64,0.15,True,58.98,0.06,-0.12,0.18,2026-03-23,4.24,0,,23.3,28.62,False,False
23-03-2026 09:00,LUKSK,96.15,99.35,93.35,98.9,175551.0,0.45,2.75,0.25,978.43,2.75,96519.0,81.88,0.16,True,46.87,-2.43,-2.96,0.53,2026-03-23,2.86,0,,89.95,116.0,False,False
23-03-2026 09:00,KLYPV,56.6,58.2,55.35,57.75,2144147.0,0.45,1.15,0.07,1542.86,1.15,1325083.1,61.81,0.39,True,46.75,-1.33,-1.36,0.02,2026-03-23,1.94,0,,54.55,74.9,True,True
23-03-2026 09:00,LRSHO,3.38,3.63,3.32,3.59,63313754.0,0.04,0.21,0.02,1066.67,0.21,18770640.4,237.3,0.19,True,47.07,-0.17,-0.19,0.02,2026-03-23,7.16,0,,3.28,4.31,True,True
23-03-2026 09:00,UCAYM,26.8,29.5,26.26,29.5,28058815.0,0.0,2.7,0.45,505.38,2.7,14472354.6,93.88,0.0,True,58.84,-0.48,-0.87,0.4,2026-03-23,9.99,0,,24.16,41.2,True,True
