Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
22-06-2026 09:00,ISGYO,22.14,27.42,21.22,27.3,54037440.0,0.12,5.16,0.65,698.76,5.16,16207759.6,233.4,0.02,True,75.95,0.59,0.2,0.39,2026-06-22,23.31,0,,19.3,ATH,False,False
22-06-2026 09:00,SEKUR,8.37,13.25,8.37,12.11,37991283.0,1.14,3.74,0.56,563.12,3.74,16949331.2,124.15,0.3,True,80.74,1.3,0.98,0.32,2026-06-22,30.22,0,,3.41,ATH,False,False
22-06-2026 09:00,ATSYH,92.0,113.6,92.0,111.0,536790.0,2.6,19.0,3.81,398.69,19.0,345177.6,55.51,0.14,True,77.24,7.86,2.92,4.94,2026-06-22,23.33,0,,47.6,ATH,False,False
22-06-2026 09:00,INFO,4.9,8.08,4.87,8.0,553687077.0,0.08,3.1,0.4,671.14,3.1,205987759.4,168.8,0.03,True,83.03,0.42,0.09,0.34,2026-06-22,58.73,0,,3.01,ATH,False,False
22-06-2026 09:00,KOPOL,6.65,7.29,6.62,7.23,116570219.0,0.06,0.58,0.04,1511.11,0.58,73903981.9,57.73,0.1,True,63.44,0.16,0.06,0.1,2026-06-22,10.21,0,,5.2,8.42,False,False
22-06-2026 09:00,SNICA,4.18,4.99,4.1,4.99,192853983.0,0.0,0.81,0.06,1250.0,0.81,67743810.0,184.68,0.0,True,63.0,0.02,-0.05,0.07,2026-06-22,20.24,0,,3.62,5.83,False,False
15-06-2026 09:00,BRMEN,10.98,16.34,10.9,16.34,4748251.0,0.0,5.36,0.54,887.11,5.36,2680363.1,77.15,0.0,True,69.41,1.0,0.43,0.56,2026-06-15,48.82,0,,2.65,ATH,False,False
15-06-2026 09:00,PSGYO,3.29,4.0,3.26,4.0,4335186803.0,0.0,0.71,0.15,361.04,0.71,1580548270.2,174.28,0.0,True,70.09,0.24,0.13,0.11,2026-06-15,23.08,0,,2.02,4.02,False,False
15-06-2026 09:00,BAKAB,47.12,55.1,46.84,55.1,6984535.0,0.0,7.98,0.31,2457.69,7.98,3454962.9,102.16,0.0,True,71.82,2.9,2.07,0.83,2026-06-15,17.03,0,,35.16,ATH,False,False
15-06-2026 09:00,BIGCH,6.74,7.7,6.55,7.7,59955689.0,0.0,0.96,0.03,2809.09,0.96,33626452.4,78.3,0.0,True,48.44,-0.68,-0.74,0.06,2026-06-15,14.75,0,,4.65,8.54,True,True
15-06-2026 09:00,BMSTL,84.1,99.2,82.5,94.9,16784295.0,4.3,10.8,0.68,1488.24,10.8,10512629.2,59.66,0.4,True,57.7,0.57,0.76,-0.19,2026-06-15,14.34,0,,65.95,122.9,False,False
15-06-2026 09:00,ODAS,7.51,9.47,7.38,9.2,859992603.0,0.27,1.69,0.21,704.76,1.69,435991492.7,97.25,0.16,True,71.12,0.62,0.47,0.16,2026-06-15,26.55,0,,5.03,ATH,False,False
15-06-2026 09:00,UFUK,1300.0,1688.0,1300.0,1617.0,434235.0,71.0,317.0,2.1,14995.24,317.0,157259.5,176.13,0.22,True,55.46,-12.88,9.81,-22.69,2026-06-15,24.38,0,,1400.0,2300.0,False,False
15-06-2026 09:00,NTHOL,40.0,46.78,39.8,46.74,17636032.0,0.04,6.74,0.66,927.44,6.74,10402790.8,69.53,0.01,True,59.67,-1.46,-1.84,0.38,2026-06-15,19.85,0,,42.02,54.2,True,True
15-06-2026 09:00,VANGD,82.6,109.0,82.6,102.7,3030223.0,6.3,20.1,3.01,567.77,20.1,1680578.9,80.31,0.31,True,69.0,10.46,10.49,-0.03,2026-06-15,24.33,0,,38.48,ATH,False,False
15-06-2026 09:00,MERIT,17.05,18.97,17.0,18.9,30877894.0,0.07,1.85,0.22,722.22,1.85,19638814.8,57.23,0.04,True,58.62,-0.15,-0.37,0.22,2026-06-15,12.77,0,,14.31,19.6,True,False
15-06-2026 09:00,DAGI,7.82,8.75,7.57,8.6,80293977.0,0.15,0.78,0.17,350.87,0.78,45062711.4,78.18,0.19,True,71.91,0.22,-0.03,0.25,2026-06-15,13.46,0,,5.36,9.0,False,False
15-06-2026 09:00,KOCMT,2.58,3.03,2.53,2.97,584563289.0,0.06,0.39,0.04,954.05,0.39,166791026.3,250.48,0.15,True,61.37,0.0,-0.02,0.03,2026-06-15,17.86,0,,2.35,2.99,False,False
15-06-2026 09:00,DGGYO,32.0,42.48,32.0,42.48,1910346.0,0.0,10.48,1.57,568.37,10.48,871595.5,119.18,0.0,True,72.71,1.01,0.07,0.94,2026-06-15,35.29,0,,26.5,47.68,False,False
15-06-2026 09:00,GOODY,16.0,19.1,15.93,18.85,35814018.0,0.25,2.85,0.36,691.67,2.85,13020845.1,175.05,0.09,True,68.1,0.35,0.05,0.31,2026-06-15,19.15,0,,13.51,20.2,False,False
15-06-2026 09:00,GLYHO,16.42,18.84,16.21,18.4,55159697.0,0.44,1.98,0.31,547.06,1.98,36629921.2,50.59,0.22,True,73.89,1.06,1.01,0.05,2026-06-15,14.0,0,,8.11,ATH,False,False
15-06-2026 09:00,SELEC,112.0,180.5,108.0,167.6,72036912.0,12.9,55.6,8.27,572.31,55.6,12919633.4,457.58,0.23,True,82.38,11.88,6.56,5.33,2026-06-15,49.38,0,,75.15,ATH,False,False
08-06-2026 09:00,ETYAT,11.5,13.17,11.0,13.17,7584933.0,0.0,1.67,0.59,181.3,1.67,4605281.99,64.7,0.0,True,78.25,0.88,0.42,0.46,2026-06-08,17.91,0,,6.43,ATH,False,False
08-06-2026 09:00,BARMA,60.65,73.35,60.2,73.1,31246571.0,0.25,12.45,2.35,429.56,12.45,13378963.1,133.55,0.02,True,87.67,8.42,7.68,0.73,2026-06-08,20.53,0,,18.3,ATH,False,False
08-06-2026 09:00,FADE,16.22,17.7,15.55,17.5,29689171.0,0.2,1.28,0.09,1291.3,1.28,16858372.8,76.11,0.16,True,64.22,0.61,0.38,0.22,2026-06-08,7.3,0,,13.37,18.6,False,False
08-06-2026 09:00,GOKNR,24.42,27.28,22.68,26.86,66695847.0,0.42,2.44,0.42,480.95,2.44,41893973.7,59.2,0.17,True,68.53,0.69,0.2,0.48,2026-06-08,10.99,0,,20.1,26.94,False,False
08-06-2026 09:00,FZLGY,14.48,18.76,14.06,17.95,318068568.0,0.81,3.47,0.22,1442.22,3.47,118308240.2,168.85,0.23,True,63.18,0.66,0.65,0.01,2026-06-08,23.96,0,,11.64,20.2,False,False
08-06-2026 09:00,GENKM,16.58,22.18,16.5,21.26,400158371.0,0.92,4.68,0.68,591.29,4.68,186814596.6,114.2,0.2,True,79.69,0.55,0.16,0.39,2026-06-08,26.25,0,,ATL,ATH,False,False
01-06-2026 09:00,BRSAN,537.5,637.5,530.5,624.0,22883103.0,13.5,86.5,4.5,1822.22,86.5,11554948.1,98.04,0.16,True,57.8,7.08,12.96,-5.88,2026-06-01,27.61,0,,468.25,789.0,False,False
01-06-2026 09:00,OZGYO,2.16,2.5,2.08,2.48,337307486.0,0.02,0.32,0.04,627.27,0.32,89467233.4,277.02,0.06,True,62.23,0.08,0.05,0.02,2026-06-01,15.89,0,,1.82,2.54,False,False
