Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
07-01-2026 15:00,GWIND,23.7,24.18,23.6,24.1,2026376.0,0.08,0.4,0.02,1566.67,0.4,460398.6,340.14,0.2,True,70.99,0.18,0.2,-0.02,2026-01-07,23.84,1.09,0,,22.22,24.38,False,False
07-01-2026 15:00,AHGAZ,21.64,21.94,21.58,21.88,746847.0,0.06,0.24,0.01,2900.0,0.24,411450.5,81.52,0.25,True,46.6,-0.11,-0.11,0.0,2026-01-07,21.86,0.09,0,,21.76,22.64,True,True
07-01-2026 15:00,AHSGY,18.14,19.0,17.4,19.0,5689682.0,0.0,0.86,0.11,654.39,0.86,1447758.9,293.0,0.0,True,73.5,0.5,0.4,0.1,2026-01-07,17.28,9.95,0,,16.7,ATH,False,False
07-01-2026 15:00,ANHYT,98.85,101.3,98.75,101.3,728225.0,0.0,2.45,0.26,842.31,2.45,464963.9,56.62,0.0,True,64.24,0.48,0.26,0.22,2026-01-07,99.85,1.45,0,,95.0,112.3,False,False
07-01-2026 15:00,NATEN,9.09,9.55,9.04,9.52,6953185.0,0.03,0.43,0.06,582.54,0.43,1705850.1,307.61,0.07,True,82.34,0.12,0.07,0.05,2026-01-07,8.93,6.61,0,,8.68,ATH,False,False
07-01-2026 14:00,RALYH,232.9,235.5,231.5,235.4,250226.0,0.1,2.5,0.49,410.2,2.5,147462.3,69.69,0.04,True,61.95,0.65,0.42,0.22,2026-01-07,230.0,2.35,0,,224.8,ATH,False,False
07-01-2026 14:00,EFOR,21.86,22.36,21.5,22.3,3124462.0,0.06,0.44,0.06,658.62,0.44,1759906.8,77.54,0.14,True,51.69,-0.29,-0.43,0.14,2026-01-07,21.78,2.39,0,,20.16,26.06,False,False
07-01-2026 14:00,ETILR,3.87,4.01,3.84,4.01,2813429.0,0.0,0.14,0.02,636.84,0.14,1236164.5,127.59,0.0,True,73.92,0.03,0.02,0.01,2026-01-07,3.82,4.97,0,,3.73,4.07,False,False
07-01-2026 14:00,CEOEM,24.02,24.26,23.98,24.24,183934.0,0.02,0.22,0.05,340.0,0.22,102720.7,79.06,0.09,True,66.88,0.01,-0.03,0.05,2026-01-07,23.72,2.19,0,,23.66,24.58,False,False
07-01-2026 14:00,AVOD,3.56,3.93,3.56,3.85,20304727.0,0.08,0.29,0.03,1060.0,0.29,2490051.6,715.43,0.28,True,78.04,0.01,-0.01,0.02,2026-01-07,3.58,7.54,0,,3.53,ATH,True,True
07-01-2026 14:00,CELHA,10.47,10.72,10.4,10.7,458947.0,0.02,0.23,0.05,389.36,0.23,217093.9,111.4,0.09,True,64.57,-0.01,-0.05,0.05,2026-01-07,10.34,3.48,0,,10.2,10.89,True,False
07-01-2026 14:00,BSOKE,17.3,17.6,17.23,17.58,2494410.0,0.02,0.28,0.05,428.3,0.28,1462298.1,70.58,0.07,True,78.32,0.26,0.21,0.05,2026-01-07,16.99,3.47,0,,15.9,18.57,False,False
07-01-2026 14:00,MACKO,24.92,26.24,24.64,25.96,2052791.0,0.28,1.04,0.08,1168.29,1.04,445526.6,360.76,0.27,True,49.33,-0.76,-0.99,0.23,2026-01-07,25.1,3.43,0,,23.96,31.06,True,False
07-01-2026 13:00,DMSAS,9.08,9.17,9.08,9.17,1130434.0,0.0,0.09,0.01,1025.0,0.09,579255.5,95.15,0.0,True,42.94,-0.12,-0.18,0.06,2026-01-07,9.05,1.33,0,,9.04,10.07,True,False
07-01-2026 13:00,TRALT,44.36,45.6,44.3,45.52,46252019.0,0.08,1.16,0.21,463.11,1.16,21736720.0,112.78,0.07,True,80.2,0.62,0.54,0.08,2026-01-07,44.2,2.99,0,,39.18,ATH,False,False
07-01-2026 13:00,INFO,3.84,4.0,3.83,3.99,24805075.0,0.01,0.15,0.03,476.92,0.15,9300255.0,166.71,0.07,True,72.09,0.05,0.04,0.01,2026-01-07,3.77,5.84,0,,3.68,ATH,False,False
07-01-2026 12:00,MAGEN,39.68,40.42,39.6,40.3,3239942.0,0.12,0.62,0.09,620.93,0.62,1277286.9,153.66,0.19,True,62.8,0.17,0.16,0.01,2026-01-07,39.58,1.82,0,,38.76,40.78,False,False
07-01-2026 12:00,TNZTP,24.98,26.04,24.72,25.92,1218116.0,0.12,0.94,0.07,1205.56,0.94,780988.8,55.97,0.13,True,68.05,0.8,0.8,-0.0,2026-01-07,24.9,4.1,0,,20.08,ATH,False,False
07-01-2026 12:00,FZLGY,14.19,14.48,14.04,14.44,2493642.0,0.04,0.25,0.05,354.55,0.25,1093637.6,128.01,0.16,True,90.04,0.32,0.27,0.05,2026-01-07,13.94,3.59,0,,12.85,ATH,False,False
07-01-2026 11:00,MOBTL,9.24,9.5,9.24,9.45,4514730.0,0.05,0.21,0.02,775.0,0.21,1155069.9,290.86,0.24,True,66.98,0.07,0.06,0.01,2026-01-07,9.17,3.05,0,,9.1,ATH,False,False
07-01-2026 11:00,KLSYN,7.16,7.65,7.16,7.52,9298487.0,0.13,0.36,0.04,872.97,0.36,1275988.1,628.73,0.36,True,80.36,0.05,0.03,0.02,2026-01-07,7.16,5.03,0,,7.01,ATH,False,False
07-01-2026 11:00,KLKIM,35.48,35.98,35.46,35.94,884235.0,0.04,0.46,0.06,641.94,0.46,225325.8,292.43,0.09,True,69.14,0.13,0.08,0.04,2026-01-07,35.32,1.76,0,,34.84,ATH,False,False
07-01-2026 11:00,BALSU,16.77,17.74,16.75,17.5,6845670.0,0.24,0.73,0.05,1303.85,0.73,1348152.5,407.78,0.33,True,67.33,-0.06,-0.14,0.08,2026-01-07,16.67,4.98,0,,16.55,17.89,False,False
