Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,prev_close,%Deg,isPivot,pointpos,direnc,destek,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
21-09-2026 10:00,TUKAS,1.81,1.93,1.8,1.92,42579294.0,0.01,0.11,0.0,3566.67,0.11,13813709.2,208.24,0.09,True,57.16,-0.03,-0.03,0.0,2026-09-21,1.84,4.35,0,,2.08,1.85,True,True
21-09-2026 10:00,INTET,42.34,49.06,42.34,48.72,6405085.0,0.34,6.38,0.34,1765.5,6.38,1870697.0,242.39,0.05,True,53.2,-1.83,-2.21,0.37,2026-09-21,47.04,3.57,0,,48.78,44.1,True,True
21-09-2026 10:00,ISFIN,17.83,18.14,17.78,18.06,365785.0,0.08,0.23,0.01,2775.0,0.23,219162.9,66.9,0.35,True,47.33,-0.07,-0.05,-0.02,2026-09-21,18.5,-2.38,0,,19.2,17.45,False,False
21-09-2026 09:00,RYGYO,44.88,48.38,43.46,47.74,1052188.0,0.64,2.86,0.32,782.72,2.86,618173.1,70.21,0.22,True,67.2,0.89,0.66,0.24,2026-09-21,46.6,2.45,0,,49.18,40.38,False,False
21-09-2026 08:00,BALSU,6.33,6.88,6.2,6.83,30706829.0,0.05,0.5,0.07,646.27,0.5,8679958.6,253.77,0.1,True,52.31,-0.29,-0.35,0.06,2026-09-21,6.26,9.11,0,,9.06,ATL,True,False
21-09-2026 08:00,RYSAS,23.96,24.72,23.96,24.6,6418815.0,0.12,0.64,0.11,492.59,0.64,3511466.9,82.8,0.19,True,55.17,-0.22,-0.42,0.2,2026-09-21,24.18,1.74,0,,27.88,22.7,False,False
21-09-2026 08:00,AZTEK,3.85,4.11,3.83,4.08,11431626.0,0.03,0.23,0.03,666.67,0.23,2088219.3,447.43,0.13,True,84.95,0.14,0.11,0.03,2026-09-21,3.8,7.37,0,,ATH,3.02,False,False
21-09-2026 07:00,SEYKM,3.01,3.2,3.01,3.17,1763540.0,0.03,0.16,0.02,900.0,0.16,258100.1,583.28,0.19,True,25.02,-0.22,-0.21,-0.01,2026-09-21,3.34,-5.09,0,,4.34,ATL,False,False
21-09-2026 07:00,HALKB,46.56,47.8,46.44,47.8,15562636.0,0.0,1.24,0.03,4033.33,1.24,3865704.5,302.58,0.0,True,56.47,-0.08,-0.04,-0.05,2026-09-21,46.52,2.75,0,,49.92,46.1,False,False
18-09-2026 14:00,BAYRK,3.42,3.52,3.41,3.5,1734069.0,0.02,0.08,0.0,7900.0,0.08,574116.1,202.04,0.25,True,43.7,-0.13,-0.14,0.01,2026-09-18,3.48,0.57,0,,4.21,3.16,True,False
18-09-2026 14:00,GUBRF,432.5,445.5,431.75,445.0,1023526.0,0.5,12.5,1.45,762.07,12.5,507354.5,101.74,0.04,True,60.6,-0.65,-4.82,4.16,2026-09-18,429.25,3.67,0,,508.5,379.0,False,False
18-09-2026 14:00,ANSGR,26.16,26.34,26.14,26.32,848202.0,0.02,0.16,0.0,7900.0,0.16,341935.7,148.06,0.12,True,53.5,0.01,-0.02,0.02,2026-09-18,26.32,0.0,0,,26.6,24.92,False,False
18-09-2026 14:00,KGYO,11.44,11.8,11.37,11.79,2197570.0,0.01,0.35,0.04,797.44,0.35,1055459.0,108.21,0.03,True,59.04,-0.05,-0.09,0.04,2026-09-18,11.38,3.6,0,,12.34,10.7,False,False
18-09-2026 14:00,TNZTP,25.36,27.48,25.34,27.12,1584483.0,0.36,1.76,0.18,888.76,1.76,606452.0,161.27,0.2,True,46.16,-1.05,-1.06,0.01,2026-09-18,28.14,-3.62,0,,34.86,25.34,True,True
18-09-2026 14:00,TRGYO,90.7,91.95,90.6,91.9,187851.0,0.05,1.2,0.03,4700.0,1.2,107808.8,74.24,0.04,True,55.25,-0.1,-0.21,0.1,2026-09-18,92.0,-0.11,0,,98.8,87.3,False,False
18-09-2026 14:00,DGNMO,5.46,6.04,5.44,5.89,1224072.0,0.15,0.43,0.01,3207.69,0.43,269989.0,353.38,0.35,True,53.87,-0.17,-0.21,0.05,2026-09-18,5.74,2.61,0,,6.8,5.2,True,False
18-09-2026 14:00,TOASO,276.5,286.75,276.5,284.25,1054598.0,2.5,7.75,0.12,6100.0,7.75,355238.3,196.87,0.32,True,53.84,-0.27,-0.22,-0.06,2026-09-18,287.0,-0.96,0,,289.0,274.0,False,False
18-09-2026 14:00,PSGYO,2.11,2.28,2.11,2.25,228351253.0,0.03,0.14,0.01,900.0,0.14,23330614.9,878.76,0.21,True,36.76,-0.15,-0.16,0.02,2026-09-18,2.34,-3.85,0,,3.16,2.11,True,True
18-09-2026 14:00,RNPOL,1.85,2.25,1.85,2.22,4958239.0,0.03,0.37,0.02,1955.56,0.37,947483.5,423.31,0.08,True,61.74,-0.04,-0.05,0.01,2026-09-18,2.05,8.29,0,,2.32,1.85,True,True
18-09-2026 14:00,ZERGY,8.23,8.64,8.15,8.54,4666859.0,0.1,0.31,0.05,545.83,0.31,1000581.8,366.41,0.32,True,55.09,-0.13,-0.21,0.08,2026-09-18,8.58,-0.47,0,,8.82,7.5,False,False
18-09-2026 14:00,YKBNK,35.38,35.94,35.34,35.88,60519363.0,0.06,0.5,0.07,635.29,0.5,25844272.5,134.17,0.12,True,62.77,0.35,0.23,0.12,2026-09-18,35.32,1.59,0,,36.92,35.14,False,False
18-09-2026 14:00,GENTS,4.51,4.9,4.5,4.8,1723569.0,0.1,0.29,0.01,1833.33,0.29,575837.6,199.32,0.34,True,59.09,-0.07,-0.08,0.01,2026-09-18,4.71,1.91,0,,5.35,4.5,True,True
18-09-2026 13:00,GZNMI,38.34,40.54,37.96,40.12,275756.0,0.42,1.78,0.06,2866.67,1.78,107761.8,155.89,0.24,True,45.34,-1.65,-1.87,0.21,2026-09-18,39.98,0.35,0,,49.5,36.7,True,True
18-09-2026 13:00,EUPWR,56.25,61.75,55.95,61.35,14181880.0,0.4,5.1,0.66,672.73,5.1,4910814.1,188.79,0.08,True,56.83,-2.46,-3.25,0.79,2026-09-18,56.7,8.2,0,,75.0,51.3,True,False
18-09-2026 13:00,GESAN,43.26,48.04,43.26,48.04,38602607.0,0.0,4.78,0.48,900.0,4.78,4815114.7,701.7,0.0,True,46.83,-2.88,-3.21,0.34,2026-09-18,48.06,-0.04,2,43.26,48.06,43.26,True,True
18-09-2026 13:00,LIDFA,1.54,1.59,1.53,1.59,6697210.0,0.0,0.05,0.01,525.0,0.05,3734645.7,79.33,0.0,True,65.35,0.01,-0.01,0.01,2026-09-18,1.5,6.0,0,,1.77,1.41,False,False
